design.opt <- cbind(design1.uniq,opt.weight)

nrow(design.opt)
[1] 594

> design.opt
                  opt.weight
x.hat 8.92 2.36 0.001998002
x.hat 7.94 1.02 0.001998002
x.hat 9.82 0.50 0.002997003
x.hat 7.78 0.70 0.001998002
x.hat 9.30 0.40 0.001998002
x.hat 9.30 2.28 0.000999001
x.hat 9.46 0.04 0.001998002
x.hat 9.00 2.14 0.000999001
x.hat 7.46 1.12 0.000999001
x.hat 9.58 0.58 0.000999001
x.hat 7.84 1.26 0.000999001
x.hat 7.64 0.72 0.003996004
x.hat 9.82 0.30 0.000999001
x.hat 9.56 2.24 0.000999001
x.hat 9.30 2.02 0.001998002
x.hat 7.56 1.34 0.001998002
x.hat 7.92 0.94 0.001998002
x.hat 9.24 2.52 0.002997003
x.hat 9.56 0.34 0.000999001
x.hat 7.48 0.94 0.003996004
x.hat 7.86 0.78 0.001998002
x.hat 9.60 0.08 0.003996004
x.hat 9.46 2.06 0.002997003
x.hat 7.90 1.20 0.004995005
x.hat 9.30 0.42 0.004995005
x.hat 7.64 1.36 0.000999001
x.hat 9.32 0.06 0.003996004
x.hat 7.66 1.02 0.000999001
x.hat 9.46 0.56 0.002997003
x.hat 9.56 2.30 0.002997003
x.hat 7.62 0.74 0.001998002
x.hat 9.14 2.40 0.000999001
x.hat 7.94 1.10 0.003996004
x.hat 9.66 0.16 0.000999001
x.hat 9.24 0.24 0.003996004
x.hat 9.42 2.04 0.004995005
x.hat 7.74 1.38 0.000999001
x.hat 9.74 0.56 0.000999001
x.hat 9.32 2.50 0.003996004
x.hat 8.96 2.24 0.002997003
x.hat 7.88 0.82 0.003996004
x.hat 9.38 0.48 0.000999001
x.hat 7.46 1.00 0.001998002
x.hat 9.40 0.06 0.000999001
x.hat 9.24 2.04 0.001998002
x.hat 9.80 0.28 0.003996004
x.hat 9.04 2.46 0.000999001
x.hat 9.58 0.46 0.000999001
x.hat 7.66 1.20 0.000999001
x.hat 9.08 2.12 0.000999001
x.hat 9.46 2.40 0.001998002
x.hat 9.64 0.10 0.001998002
x.hat 7.60 1.38 0.001998002
x.hat 9.50 2.06 0.000999001
x.hat 7.92 0.96 0.000999001
x.hat 9.16 2.28 0.000999001
x.hat 7.84 1.30 0.002997003
x.hat 9.52 0.58 0.004995005
x.hat 9.18 2.54 0.001998002
x.hat 7.46 1.08 0.001998002
x.hat 9.46 0.18 0.000999001
x.hat 8.90 2.36 0.001998002
x.hat 7.84 0.78 0.000999001
x.hat 9.28 2.02 0.002997003
x.hat 9.84 0.34 0.001998002
